sstn,sdep,stmp,ssal,sden,spHa,stub,sflu,ssig,oxys,oxyc
St.2,1,22.4418,31.83175,1021.69595,9.2195,0.2812,1.5751,21.6899,117.8615,5.9458
St.2,2,22.43275263,31.85520526,1021.719111,9.219578947,0.287663158,1.460557895,21.7102,117.0344737,5.904189474
St.2,3,22.392075,31.809675,1021.700125,9.21,0.285775,1.412975,21.687025,117.43575,5.930275
St.2,4,22.18308182,31.90129091,1021.831973,9.205818182,0.254090909,1.378781818,21.81460909,114.455,5.798227273
St.2,5,22.18926667,31.92951667,1021.856017,9.213166667,0.262166667,1.445783333,21.83428333,113.1491667,5.730533333
St.2,6,22.34032857,31.86927143,1021.773086,9.218285714,0.2469,1.455442857,21.74664286,114.7318571,5.797085714
St.2,7,22.36015714,31.82242857,1021.736171,9.217714286,0.258,1.495242857,21.7056,117.388,5.9308
St.2,8,21.73711429,31.8419,1021.927357,9.169142857,0.257571429,1.3528,21.89211429,114.6795714,5.857814286
St.2,9,21.09492727,32.08375455,1022.289545,9.139272727,0.226772727,1.322445455,22.24986364,100.2158182,5.171481818
St.2,10,20.4899,32.226425,1022.5634,9.117,0.2202,1.2348,22.51945,95.428,4.974925
St.2,11,20.111225,32.312675,1022.732525,9.09525,0.234325,1.039875,22.68425,90.23625,4.734625
St.2,12,19.78323077,32.48279231,1022.952331,9.081384615,0.226330769,0.977884615,22.89893077,83.679,4.412992308
St.2,13,19.43806,32.51558,1023.06972,9.085,0.25482,0.97502,23.01246,85.5534,4.53976
St.2,14,19.121025,32.649675,1023.25695,9.06775,0.261375,0.73755,23.1952,81.479,4.3456
St.2,15,18.5707625,32.7412375,1023.469125,9.062,0.3233625,0.6276875,23.402725,74.606,4.0178625
St.2,16,18.05695556,32.82754444,1023.665567,9.063555556,0.317566667,0.710533333,23.59497778,71.703,3.897566667
St.2,17,17.58725,32.88941667,1023.83105,9.075666667,0.320883333,0.6429,23.75583333,71.45666667,3.917666667
St.2,18,17.43332857,32.97645714,1023.939086,9.078714286,0.309428571,0.522814286,23.8593,73.11728571,4.018414286
St.2,19,17.2939875,32.9015,1023.919288,9.081875,0.3107875,0.4893125,23.834925,72.612875,4.0031875
St.2,20,16.874,32.99192857,1024.091829,9.083285714,0.301171429,0.395742857,24.003,71.64542857,3.979757143
St.2,21,16.66613333,33.09745,1024.2259,9.083333333,0.313783333,0.3442,24.13228333,70.36216667,3.92175
St.2,22,16.5599625,33.11785,1024.270575,9.083,0.305825,0.3408125,24.172475,69.950625,3.9064
St.2,23,16.4583,33.1733625,1024.340738,9.082375,0.32585,0.332525,24.238525,69.6635,3.89675
St.2,24,16.1424,33.2643,1024.487413,9.07925,0.4563,0.2905625,24.3805,68.738625,3.8666125
St.2,25,15.76944286,33.47574286,1024.7389,9.076714286,0.537228571,0.212385714,24.62725714,66.56014286,3.766728571
St.2,26,15.6342,33.64450667,1024.90374,9.070266667,0.806386667,0.183433333,24.78734667,64.1636,3.637053333
St.2,27,15.59645,33.6725,1024.937467,9.069833333,0.903533333,0.162233333,24.8173,63.66666667,3.610966667
St.2,28,15.58688333,33.68335,1024.952583,9.068333333,0.8819,0.1527,24.82778333,63.658,3.6109
St.2,29,15.5734875,33.6973375,1024.971,9.067625,0.95424375,0.1604875,24.8415375,63.3218125,3.59249375
St.2,30,15.53085714,33.724,1025.005086,9.064857143,1.129528571,0.162914286,24.87154286,62.94828571,3.573728571
St.2,31,15.48736667,33.7626,1025.0493,9.062666667,1.262866667,0.140616667,24.91091667,62.2355,3.53545
St.2,32,15.44891333,33.79728,1025.089567,9.056266667,1.704026667,0.154306667,24.94615333,60.74666667,3.452753333
St.2,33,15.417975,33.82065,1025.117613,9.0525,2.0621375,0.15275,24.9709875,59.84275,3.4029875
St.2,34,15.37966667,33.85418333,1025.157117,9.053666667,1.844016667,0.128283333,25.0053,59.8115,3.403116667
St.2,35,15.34520769,33.88423077,1025.192969,9.052153846,1.907630769,0.132261538,25.03606923,59.82946154,3.405807692
St.2,36,15.32418571,33.89847143,1025.211929,9.051428571,2.161014286,0.1481,25.05165714,59.72142857,3.4008
St.2,37,15.30411667,33.91418333,1025.233267,9.052166667,1.869166667,0.118233333,25.06816667,59.60933333,3.395433333
St.2,38,15.28894286,33.92774286,1025.252057,9.050571429,1.878942857,0.107785714,25.08201429,59.54057143,3.392228571
St.2,39,15.27747143,33.93601429,1025.264914,9.050428571,1.809642857,0.113685714,25.09088571,59.514,3.391328571
St.2,40,15.26415,33.9473125,1025.28125,9.049,1.8037,0.092225,25.102525,59.37575,3.3841
St.2,41,15.24343333,33.96444444,1025.303089,9.049444444,1.818733333,0.101011111,25.12027778,59.30511111,3.381133333
St.2,42,15.23271667,33.97561667,1025.318883,9.048166667,1.8384,0.09765,25.13125,59.08983333,3.3693
St.2,43,15.21548,33.99564,1025.34252,9.048,2.00778,0.09184,25.15046,58.9496,3.36206
St.2,44,15.1859,34.024575,1025.375838,9.047875,2.0125375,0.0856375,25.17925,59.0465,3.3689625
St.2,45,15.16462,34.04346,1025.39915,9.0474,1.99923,0.08659,25.19848,59.0705,3.37137
St.2,46,15.15278333,34.0557,1025.415683,9.0475,1.99405,0.075116667,25.21053333,59.10066667,3.373616667
St.2,47,15.13456667,34.0764,1025.440317,9.047166667,2.110783333,0.079216667,25.23045,59.125,3.375816667
St.2,48,15.12321429,34.10721429,1025.471386,9.048285714,2.207228571,0.062014286,25.2567,59.21185714,3.3809
St.2,49,15.13724167,34.125975,1025.486367,9.048,2.37705,0.078125,25.26806667,59.31725,3.385558333
St.2,50,15.15956,34.13868,1025.49588,9.0464,2.37736,0.07122,25.27296,59.3182,3.38388
St.2,51,15.1663,34.13472,1025.49588,9.0464,2.6035,0.07214,25.26842,59.2876,3.38174
St.2,52,15.17045,34.13923333,1025.503417,9.047,2.621966667,0.070416667,25.27098333,59.1665,3.37445
St.2,53,15.17542857,34.14065,1025.507414,9.047,2.653214286,0.074257143,25.27099286,59.15792857,3.373621429
St.2,54,15.18056,34.14124,1025.511,9.0452,2.8693,0.0769,25.27032,59.3668,3.38516
St.2,55,15.182,34.14418,1025.51764,9.046,2.80338,0.06268,25.27224,59.3876,3.3862
St.2,56,15.18604286,34.14454286,1025.522057,9.045285714,2.792328571,0.072328571,25.27165714,59.263,3.378814286
St.2,57,15.18641905,34.1436,1025.524876,9.043285714,2.685566667,0.075985714,25.27084762,59.25514286,3.378371429
